,Playlist Title,DJ ID,DJ Name,Date,Time,Artist,Song,Release,New,Local,Genre,Label,UPC,artistBB,songBB,danceability,energy,key,loudness,mode,speechiness,acousticness,instruemtnalness,liveness,valence,tempo,duration_ms
32515,"WRUV 1/1/24, 5:02 AM",64581,Program Director,2024-01-01,5:59:46 AM,Whimmers,Bingo,In the Midst of Something Worth Seeing,0,0,Folk,1287440 Records DK,197953115506,0,0,,,,,,,,,,,,
32516,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:02:56 AM,Grupo Celeste,Viento,Cumbia Beat Volume 1,0,0,World,Vampisoul,885686020944,0,0,,,,,,,,,,,,
32517,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:06:37 AM,NoSo,Honey Understand,Honey Understand,0,0,,WMG - PTKF,720841133407,0,0,0.702,0.59,0.59,-9.37,1.0,0.0312,0.0974,0.000531,0.0967,0.438,101.992,241920.0
32518,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:10:41 AM,Green Day,The American Dream Is Killing Me,The American Dream Is Killing Me,0,0,,Reprise,093624857518,1,0,0.534,0.95,0.95,-2.51,1.0,0.0459,0.000165,1.98e-06,0.268,0.614,142.972,186271.0
32519,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:13:49 AM,The Legendary Pink Dots,I Love You in Your Tragic Beauty,Crushed Velvet Apocalypse,0,0,,Caciocavallo,887396897618,0,0,0.476,0.409,0.409,-16.514,0.0,0.029,0.697,0.00102,0.0971,0.278,123.848,271840.0
32520,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:18:20 AM,Joe McCarthy's New York Afro Bop Alliance Big Band,Dance of the Sugar Plum Fairy,The Pan American Nutcracker Suite,0,0,Jazz,Angelface Records,195269179977,0,0,,,,,,,,,,,,
32521,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:23:37 AM,Archie Pelago,Level Design - Sheet Music,Off-Peak OST,0,0,Electronic,Archie Pelago Music,5050580637733,0,0,0.479,0.641,0.641,-10.179,0.0,0.053,0.00755,0.83,0.0721,0.159,121.966,303311.0
32522,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:28:37 AM,Gilbert Castellanos,New Delhi,Espérame En El Cielo,0,0,Jazz,Z Note Media,755491251492,0,0,,,,,,,,,,,,
32523,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:34:34 AM,Sunanda Sharma,Jaani Tera Naa,Jaani Tera Naa,0,0,,Mad 4 Music,3614977951738,0,0,0.776,0.873,0.873,-3.157,0.0,0.0463,0.0685,0.000225,0.11,0.844,94.023,188639.0
32524,"WRUV 1/1/24, 6:02 AM",64581,Program Director,2024-01-01,6:37:34 AM,Danielle Ponder,Roll The Credits,Roll The Credits,0,0,R&B/Soul,Future Classic,196922425028,0,0,,,,,,,,,,,,
